stimulus,condition,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,instructions.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thank_you.started,text_3.started,thank_you.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.014062799979001284,0.02949760004412383,10.01484459999483,,,,,,,,,,,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
acidomy,vvrl,n,0,0,0,27,10.054870099993423,,,,,10.04485080006998,10.054870099993423,10.508035100065172,10.508035100065172,10.558369899983518,11.781715100049041,n,1,1.2530249999836087,None,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
grotiful,vvrl,n,0,1,1,19,11.80730390001554,,,,,11.783790500019677,11.80730390001554,12.307848599972203,12.307848599972203,12.327248799963854,13.186442399979569,n,1,0.8732360999565572,None,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
parent  ,control,y,0,2,2,24,13.207993400050327,,,,,13.18768790003378,13.207993400050327,13.69571260001976,13.69571260001976,13.726216300041415,14.505613900022581,y,1,0.8072867000009865,None,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
animal  ,control,y,0,3,3,8,14.526973000029102,,,,,14.50689069996588,14.526973000029102,15.012866600067355,15.012866600067355,15.044216700014658,15.772672999999486,y,1,0.7493024000432342,None,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
resident  ,control,y,0,4,4,2,15.794770700042136,,,,,15.77396719995886,15.794770700042136,16.295572299975902,16.295572299975902,16.31483849999495,17.25522659998387,y,1,0.9556105999508873,None,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
basude,vvrl,n,0,5,5,5,17.279914299957454,,,,,17.256475000060163,17.279914299957454,17.7667885000119,17.7667885000119,17.79718180000782,18.704995600041002,n,1,0.9194670999422669,None,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
editor  ,control,y,0,6,6,34,18.731505500036292,,,,,18.70614080002997,18.731505500036292,19.234191700001247,19.234191700001247,19.234191700001247,19.77431810006965,y,1,0.5201762999640778,None,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
cimura,vvrl,n,0,7,7,7,19.799579399987124,,,,,19.775570500059985,19.799579399987124,20.300188799970783,20.300188799970783,20.319537300034426,21.459452099981718,n,1,1.1423520999960601,None,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
anemol,vvrl,n,0,8,8,9,21.484649599995464,,,,,21.46076270006597,21.484649599995464,21.987665600026958,21.987665600026958,21.987665600026958,22.74620200006757,n,1,0.7390431000385433,None,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
veteran  ,control,y,0,9,9,16,22.76838709996082,,,,,22.747406200040132,22.76838709996082,23.269854599959217,23.269854599959217,23.288577100029215,23.94788510003127,y,1,0.6689776000566781,None,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
regular  ,control,y,0,10,10,12,23.970526800025254,,,,,23.949228800018318,23.970526800025254,24.456896999967285,24.456896999967285,24.487879600026645,24.996420999988914,y,1,0.5219638999551535,None,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
opuritor,vvrl,n,0,11,11,23,25.022061299998313,,,,,24.99764449999202,25.022061299998313,25.522294600028545,25.522294600028545,25.540975200012326,26.16750320000574,n,1,0.6420659000286832,None,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
grateful  ,control,y,0,12,12,18,26.189424499985762,,,,,26.168764000060037,26.189424499985762,26.676065900013782,26.676065900013782,26.70692639995832,27.18491399998311,y,1,0.4965616000117734,None,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
capotel,vvrl,n,0,13,13,15,27.20744819997344,,,,,27.186145900050178,27.20744819997344,27.708075299975462,27.708075299975462,27.72738479997497,28.78753750002943,n,1,1.0737023999681696,None,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
sontament,vvrl,n,0,14,14,39,28.809247100027278,,,,,28.78896849998273,28.809247100027278,29.31187360000331,29.31187360000331,29.31187360000331,30.388505600043572,n,1,1.0627935000229627,None,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
edatur,vvrl,n,0,15,15,35,30.4107137999963,,,,,30.38990800001193,30.4107137999963,30.89739040005952,30.89739040005952,30.92796740005724,31.90669750003144,n,1,0.9975005000596866,None,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
operator  ,control,y,0,16,16,22,31.92934170004446,,,,,31.907922000042163,31.92934170004446,32.43022740003653,32.43022740003653,32.44905379996635,33.03880520001985,y,1,0.6020111999241635,None,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
cafeteria  ,control,y,0,17,17,10,33.06388919998426,,,,,33.040027800016105,33.06388919998426,33.56680729996879,33.56680729996879,33.56680729996879,34.12357299996074,y,1,0.5486182000022382,None,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
camera  ,control,y,0,18,18,6,34.148443300044164,,,,,34.12482699996326,34.148443300044164,34.64885040000081,34.64885040000081,34.66799530002754,35.127203900017776,y,1,0.4658186000306159,None,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
capital  ,control,y,0,19,19,14,35.14908780006226,,,,,35.12839329999406,35.14908780006226,35.64998009998817,35.64998009998817,35.66902000003029,36.194176899967715,y,1,0.5248096999712288,None,,,,yashi,2024-12-01_14h34.07.584,solo_project,2024.1.5,None,2024-12-01 14h34.23.214581 +0530,
