stimulus,condition,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,instructions.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thank_you.started,text_3.started,thank_you.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.01129709999077022,0.02456960000563413,10.010206800070591,,,,,,,,,,,,,,tanisha,2024-12-01_18h09.14.662,solo_project,2024.1.5,None,2024-12-01 18h09.44.062245 +0530,
edivent,cctl,n,0,0,0,19,10.06795900000725,,,,,10.046973700053059,10.06795900000725,10.519234500010498,10.519234500010498,10.570650500012562,14.713169199996628,n,1,3.9833414000459015,None,,,,tanisha,2024-12-01_18h09.14.662,solo_project,2024.1.5,None,2024-12-01 18h09.44.062245 +0530,
clinical  ,control,y,0,1,1,32,14.741210900014266,,,,,14.715765500091948,14.741210900014266,15.240917999995872,15.240917999995872,15.259153500082903,16.701472300104797,y,1,1.4407482000533491,None,,,,tanisha,2024-12-01_18h09.14.662,solo_project,2024.1.5,None,2024-12-01 18h09.44.062245 +0530,
evident  ,control,y,0,2,2,18,16.725825200090185,,,,,16.70271560002584,16.725825200090185,17.22636060009245,17.22636060009245,17.244108200073242,18.23788680008147,y,1,0.9949620999395847,None,,,,tanisha,2024-12-01_18h09.14.662,solo_project,2024.1.5,None,2024-12-01 18h09.44.062245 +0530,
pacific  ,control,y,0,3,3,10,18.260805600089952,,,,,18.239374199998565,18.260805600089952,18.762986100045964,18.762986100045964,18.762986100045964,19.620945900096558,y,1,0.8326099999248981,None,,,,tanisha,2024-12-01_18h09.14.662,solo_project,2024.1.5,None,2024-12-01 18h09.44.062245 +0530,
dominant  ,control,y,0,4,4,30,19.64560580009129,,,,,19.622181400074624,19.64560580009129,20.146210000035353,20.146210000035353,20.164123700000346,21.623557300074026,y,1,1.4736341000534594,None,,,,tanisha,2024-12-01_18h09.14.662,solo_project,2024.1.5,None,2024-12-01 18h09.44.062245 +0530,
vecolity,cctl,n,0,5,5,25,21.647937700035982,,,,,21.624813500093296,21.647937700035982,22.14846400008537,22.14846400008537,22.166744100046344,24.277346400078386,n,1,2.12557590007782,None,,,,tanisha,2024-12-01_18h09.14.662,solo_project,2024.1.5,None,2024-12-01 18h09.44.062245 +0530,
crinimal,cctl,n,0,6,6,39,24.301135100075044,,,,,24.278614500071853,24.301135100075044,24.802961400011554,24.802961400011554,24.802961400011554,26.795713100000285,n,1,1.963519399985671,None,,,,tanisha,2024-12-01_18h09.14.662,solo_project,2024.1.5,None,2024-12-01 18h09.44.062245 +0530,
marine  ,control,y,0,7,7,20,26.82010390004143,,,,,26.7969697000226,26.82010390004143,27.320687400060706,27.320687400060706,27.338839100091718,28.097367000067607,y,1,0.7567524999612942,None,,,,tanisha,2024-12-01_18h09.14.662,solo_project,2024.1.5,None,2024-12-01 18h09.44.062245 +0530,
logical  ,control,y,0,8,8,12,28.121567300055176,,,,,28.098616700037383,28.121567300055176,28.621982900076546,28.621982900076546,28.64036300010048,29.567162899998948,y,1,0.9320532999699935,None,,,,tanisha,2024-12-01_18h09.14.662,solo_project,2024.1.5,None,2024-12-01 18h09.44.062245 +0530,
