stimulus,condition,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,instructions.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thank_you.started,text_3.started,thank_you.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.015010000090114772,0.02849450008943677,10.029361300054006,,,,,,,,,,,,,,taashi,2024-12-01_13h38.28.111,solo_project,2024.1.5,None,2024-12-01 13h38.44.403208 +0530,
crinimal,cctl,n,0,0,0,39,10.07189660007134,,,,,10.056165300076827,10.07189660007134,10.522657199995592,10.522657199995592,10.57475470006466,11.933945100056008,y,0,1.3646159999771044,None,,,,taashi,2024-12-01_13h38.28.111,solo_project,2024.1.5,None,2024-12-01 13h38.44.403208 +0530,
refusal  ,control,y,0,1,1,4,11.957542999996804,,,,,11.936744300066493,11.957542999996804,12.443517700070515,12.443517700070515,12.475021200021729,13.083629200002179,y,1,0.622807800071314,None,,,,taashi,2024-12-01_13h38.28.111,solo_project,2024.1.5,None,2024-12-01 13h38.44.403208 +0530,
resufal,cctl,n,0,2,2,5,13.108835500082932,,,,,13.08486579998862,13.108835500082932,13.60936770006083,13.60936770006083,13.628327100072056,16.037479200051166,n,1,2.4246107999933884,None,,,,taashi,2024-12-01_13h38.28.111,solo_project,2024.1.5,None,2024-12-01 13h38.44.403208 +0530,
opmital,cctl,n,0,3,3,3,16.06205870001577,,,,,16.03872140008025,16.06205870001577,16.548219999996945,16.548219999996945,16.579228700022213,18.539696900057606,n,1,1.989972100011073,None,,,,taashi,2024-12-01_13h38.28.111,solo_project,2024.1.5,None,2024-12-01 13h38.44.403208 +0530,
retome,cctl,n,0,4,4,23,18.564709500060417,,,,,18.54094990005251,18.564709500060417,19.05126650002785,19.05126650002785,19.08205710002221,20.12467759998981,n,1,1.0460958000039682,None,,,,taashi,2024-12-01_13h38.28.111,solo_project,2024.1.5,None,2024-12-01 13h38.44.403208 +0530,
clinical  ,control,y,0,5,5,32,20.14970050007105,,,,,20.125912000075914,20.14970050007105,20.650357900070958,20.650357900070958,20.66939649998676,21.47873100009747,y,1,0.8093721000477672,None,,,,taashi,2024-12-01_13h38.28.111,solo_project,2024.1.5,None,2024-12-01 13h38.44.403208 +0530,
optimal  ,control,y,0,6,6,2,21.50119600002654,,,,,21.479975300026126,21.50119600002654,22.002136500086635,22.002136500086635,22.021972200018354,22.846791099989787,n,0,0.8308213000418618,None,,,,taashi,2024-12-01_13h38.28.111,solo_project,2024.1.5,None,2024-12-01 13h38.44.403208 +0530,
remote  ,control,y,0,7,7,22,22.869421700015664,,,,,22.848033700021915,22.869421700015664,23.370044899987988,23.370044899987988,23.389116600039415,24.499834800022654,y,1,1.1281099000480026,None,,,,taashi,2024-12-01_13h38.28.111,solo_project,2024.1.5,None,2024-12-01 13h38.44.403208 +0530,
donimant,cctl,n,0,8,8,31,24.521200800081715,,,,,24.50111830001697,24.521200800081715,25.021768500097096,25.021768500097096,25.040897500002757,26.434038300067186,n,1,1.3930297000333667,None,,,,taashi,2024-12-01_13h38.28.111,solo_project,2024.1.5,None,2024-12-01 13h38.44.403208 +0530,
