reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,80,162,0,0,0,6,0.348192299992661,,0.04957299999659881,0.348192299992661,1.01498680000077,1.01498680000077,1.3678048000001581,1.9855917999957455,t,0.9572031999996398,None,969262,001,2024-11-21_10h33.37.455,delay_discounting_task,2024.1.5,None,2024-11-21 10h33.47.161579 +0530,
40,55,62,0,1,1,3,2.016328900004737,,1.98777870000049,2.016328900004737,3.017801900001359,3.017801900001359,3.0360279000015,3.9460235000005923,l,0.9204643999983091,None,969262,001,2024-11-21_10h33.37.455,delay_discounting_task,2024.1.5,None,2024-11-21 10h33.47.161579 +0530,
27,30,21,0,2,2,2,3.968066000001272,,3.947498199995607,3.968066000001272,4.969937100002426,4.969937100002426,4.988048700004583,5.82996020000428,l,0.8485041999956593,None,969262,001,2024-11-21_10h33.37.455,delay_discounting_task,2024.1.5,None,2024-11-21 10h33.47.161579 +0530,
67,75,119,0,3,3,5,5.853498399999808,,5.831408999991254,5.853498399999808,6.855313699998078,6.855313699998078,6.873540699991281,8.081636300004902,t,1.2021538999979384,None,969262,001,2024-11-21_10h33.37.455,delay_discounting_task,2024.1.5,None,2024-11-21 10h33.47.161579 +0530,
15,35,13,0,4,4,1,8.106556200000341,,8.083125000004657,8.106556200000341,9.10780299999169,9.10780299999169,9.12603849999141,10.085796400002437,l,0.9692414000019198,None,969262,001,2024-11-21_10h33.37.455,delay_discounting_task,2024.1.5,None,2024-11-21 10h33.47.161579 +0530,
11,30,7,0,5,5,0,10.108904499997152,,10.087254199999734,10.108904499997152,11.110066799999913,11.110066799999913,11.128085699994699,11.838036200002534,l,0.7103825000085635,None,969262,001,2024-11-21_10h33.37.455,delay_discounting_task,2024.1.5,None,2024-11-21 10h33.47.161579 +0530,
49,60,89,0,6,6,4,11.860998000003747,,11.839496400003554,11.860998000003747,12.861710099998163,12.861710099998163,12.882456899998942,13.421244600001955,l,0.5299025000131223,None,969262,001,2024-11-21_10h33.37.455,delay_discounting_task,2024.1.5,None,2024-11-21 10h33.47.161579 +0530,
67,75,119,1,0,7,5,13.445743999996921,,13.422703299991554,13.445743999996921,14.446997799997916,14.446997799997916,14.465064599993639,15.406875899992883,t,0.9377610000083223,None,969262,001,2024-11-21_10h33.37.455,delay_discounting_task,2024.1.5,None,2024-11-21 10h33.47.161579 +0530,
49,60,89,1,1,8,4,15.431377600005362,,15.408278200004133,15.431377600005362,16.432234099993366,16.432234099993366,16.45055589999538,17.227185499999905,l,0.7896441999910166,None,969262,001,2024-11-21_10h33.37.455,delay_discounting_task,2024.1.5,None,2024-11-21 10h33.47.161579 +0530,
11,30,7,1,2,9,0,17.25020169999334,,17.228628800003207,17.25020169999334,18.250883999993675,18.250883999993675,18.269354699994437,18.778806599992095,l,0.5095389000052819,None,969262,001,2024-11-21_10h33.37.455,delay_discounting_task,2024.1.5,None,2024-11-21 10h33.47.161579 +0530,
15,35,13,1,3,10,1,18.801611200004118,,18.780261499996413,18.801611200004118,19.802757199999178,19.802757199999178,19.82095300000219,20.530266000001575,l,0.7237414999981411,None,969262,001,2024-11-21_10h33.37.455,delay_discounting_task,2024.1.5,None,2024-11-21 10h33.47.161579 +0530,
40,55,62,1,4,11,3,20.55359189999581,,20.531682400003774,20.55359189999581,21.55709800000477,21.55709800000477,21.55709800000477,22.281214899994666,l,0.7056474999990314,None,969262,001,2024-11-21_10h33.37.455,delay_discounting_task,2024.1.5,None,2024-11-21 10h33.47.161579 +0530,
27,30,21,1,5,12,2,22.305529099990963,,22.282660099997884,22.305529099990963,23.306411900004605,23.306411900004605,23.32481039999402,23.982697899991763,l,0.6612293999933172,None,969262,001,2024-11-21_10h33.37.455,delay_discounting_task,2024.1.5,None,2024-11-21 10h33.47.161579 +0530,
78,80,162,1,6,13,6,24.007494799996493,,23.984206599998288,24.007494799996493,25.008407100001932,25.008407100001932,25.0266055999964,25.76772489999712,t,0.7306889000028605,None,969262,001,2024-11-21_10h33.37.455,delay_discounting_task,2024.1.5,None,2024-11-21 10h33.47.161579 +0530,
27,30,21,2,0,14,2,25.792562200003886,,25.76921610000136,25.792562200003886,26.793714999992517,26.793714999992517,26.811927200003993,27.538382400001865,l,0.7395307999977376,None,969262,001,2024-11-21_10h33.37.455,delay_discounting_task,2024.1.5,None,2024-11-21 10h33.47.161579 +0530,
