reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,1,0.32106760000169743,,0.053456900001037866,0.32106760000169743,1.0060605000035139,1.0060605000035139,1.323895099994843,2.5714193000021623,t,1.5501061000104528,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
27,30,21,0,1,1,2,2.589681900004507,,2.5730898000037996,2.589681900004507,3.576420600002166,3.576420600002166,3.5929742000007536,4.033645200004685,t,0.44390670000575483,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
67,75,119,0,2,2,5,4.058504300002824,,4.034642200000235,4.058504300002824,5.044639900006587,5.044639900006587,5.061298300002818,5.518270300002769,t,0.4694083999929717,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
49,60,89,0,3,3,4,5.543197899998631,,5.519263399997726,5.543197899998631,6.544978599995375,6.544978599995375,6.578166799998144,6.921810200001346,t,0.3613325999904191,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
78,80,162,0,4,4,6,6.945243099995423,,6.923285600001691,6.945243099995423,7.946051499995519,7.946051499995519,7.9638772000034805,8.388646499995957,t,0.4357663999981014,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
40,55,62,0,5,5,3,8.413219199996092,,8.390106999999261,8.413219199996092,9.414356499997666,9.414356499997666,9.432118199998513,9.889345799994771,t,0.46563539998896886,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
11,30,7,0,6,6,0,9.91528479999397,,9.890377699994133,9.91528479999397,10.916045499994652,10.916045499994652,10.933783900007256,11.778122400006396,l,0.836079399989103,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
49,60,89,1,0,7,4,11.800609600002645,,11.780002800005605,11.800609600002645,12.801597800003947,12.801597800003947,12.819241699995473,13.74558010000328,t,0.9346723999915412,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
15,35,13,1,1,8,1,13.769262899993919,,13.747043800001848,13.769262899993919,14.770337099995231,14.770337099995231,14.787940199996228,15.263831899996148,t,0.4810581000056118,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
27,30,21,1,2,9,2,15.287572800007183,,15.265229099997669,15.287572800007183,16.288684700004524,16.288684700004524,16.306307299993932,16.71536109999579,t,0.42182070000853855,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
67,75,119,1,3,10,5,16.739257199995336,,16.716846099996474,16.739257199995336,17.741751800000202,17.741751800000202,17.741751800000202,18.266103300004033,t,0.4909181999973953,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
40,55,62,1,4,11,3,18.290884700007155,,18.267585800000234,18.290884700007155,19.29211170000781,19.29211170000781,19.30954180000117,19.985559799999464,t,0.6826387000037357,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
78,80,162,1,5,12,6,20.00969829999667,,19.987050299998373,20.00969829999667,21.01051570000709,21.01051570000709,21.028116400004365,21.804426799993962,t,0.7897377999906894,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
11,30,7,1,6,13,0,21.827993400002015,,21.80589790000522,21.827993400002015,22.829179299995303,22.829179299995303,22.84672739999951,23.289315500005614,l,0.45818499999586493,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
67,75,119,2,0,14,5,23.313079300001846,,23.290741000004346,23.313079300001846,24.3141706000024,24.3141706000024,24.331738199995016,24.889911399994162,t,0.5442572000029031,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
