reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,80,162,0,0,0,6,0.31982210000569467,,0.04905110000981949,0.31982210000569467,1.0201203000033274,1.0201203000033274,1.338719300008961,32.856651300011436,t,31.82409199999529,None,354603,001,2024-11-21_09h31.10.468,delay_discounting_task,2024.1.5,None,2024-11-21 09h31.19.203441 +0530,
15,35,13,0,1,1,1,32.88825070000894,,32.858994200010784,32.88825070000894,33.85814440000104,33.85814440000104,33.89141660000314,42.242206200011424,l,8.378556299998309,None,354603,001,2024-11-21_09h31.10.468,delay_discounting_task,2024.1.5,None,2024-11-21 09h31.19.203441 +0530,
67,75,119,0,2,2,5,42.26518170000054,,42.24370410000847,42.26518170000054,43.26715210000111,43.26715210000111,43.2844727000047,49.716545100003714,t,6.442771200003335,None,354603,001,2024-11-21_09h31.10.468,delay_discounting_task,2024.1.5,None,2024-11-21 09h31.19.203441 +0530,
49,60,89,0,3,3,4,49.73975410001003,,49.718025300011504,49.73975410001003,50.74151650001295,50.74151650001295,50.75926390000677,57.57538530000602,t,6.827369100006763,None,354603,001,2024-11-21_09h31.10.468,delay_discounting_task,2024.1.5,None,2024-11-21 09h31.19.203441 +0530,
11,30,7,0,4,4,0,57.59939650000888,,57.576857899999595,57.59939650000888,58.60014660000161,58.60014660000161,58.61794960001134,64.26439110000501,l,5.631596300008823,None,354603,001,2024-11-21_09h31.10.468,delay_discounting_task,2024.1.5,None,2024-11-21 09h31.19.203441 +0530,
27,30,21,0,5,5,2,64.28973560000304,,64.26585540000815,64.28973560000304,65.29073350000544,65.29073350000544,65.30856850001146,80.30010450001282,t,15.003756099991733,None,354603,001,2024-11-21_09h31.10.468,delay_discounting_task,2024.1.5,None,2024-11-21 09h31.19.203441 +0530,
40,55,62,0,6,6,3,80.32515940000303,,80.30159660000936,80.32515940000303,81.32493729999987,81.32493729999987,81.34270120000292,93.71738460000779,t,12.390559899999062,None,354603,001,2024-11-21_09h31.10.468,delay_discounting_task,2024.1.5,None,2024-11-21 09h31.19.203441 +0530,
15,35,13,1,0,7,1,93.73873920000915,,93.71913750001113,93.73873920000915,94.7245213000133,94.7245213000133,94.75667450000765,99.07048220001161,l,4.330208899991703,None,354603,001,2024-11-21_09h31.10.468,delay_discounting_task,2024.1.5,None,2024-11-21 09h31.19.203441 +0530,
49,60,89,1,1,8,4,99.09458820000873,,99.0719792000018,99.09458820000873,100.09557050000876,100.09557050000876,100.11323390000325,110.19932540001173,t,10.090712200006237,None,354603,001,2024-11-21_09h31.10.468,delay_discounting_task,2024.1.5,None,2024-11-21 09h31.19.203441 +0530,
27,30,21,1,2,9,2,110.22316300000239,,110.2011222000001,110.22316300000239,111.2243548000115,111.2243548000115,111.24200140000903,116.82214170000225,t,5.564696400004323,None,354603,001,2024-11-21_09h31.10.468,delay_discounting_task,2024.1.5,None,2024-11-21 09h31.19.203441 +0530,
11,30,7,1,3,10,0,116.84709360000852,,116.82361150000361,116.84709360000852,117.84823340000003,117.84823340000003,117.86608870000055,122.64634930000466,l,4.792436699994141,None,354603,001,2024-11-21_09h31.10.468,delay_discounting_task,2024.1.5,None,2024-11-21 09h31.19.203441 +0530,
40,55,62,1,4,11,3,122.67008840000199,,122.64784040000814,122.67008840000199,123.67129100000602,123.67129100000602,123.68896650000534,129.6541591999994,t,5.9784012000018265,None,354603,001,2024-11-21_09h31.10.468,delay_discounting_task,2024.1.5,None,2024-11-21 09h31.19.203441 +0530,
78,80,162,1,5,12,6,129.6777654000034,,129.6557707000029,129.6777654000034,130.6789252000017,130.6789252000017,130.69662160000007,135.46038470001076,t,4.764422599997488,None,354603,001,2024-11-21_09h31.10.468,delay_discounting_task,2024.1.5,None,2024-11-21 09h31.19.203441 +0530,
67,75,119,1,6,13,5,135.48409700000775,,135.4618283000018,135.48409700000775,136.48538640000334,136.48538640000334,136.50309050000214,142.25118580000708,t,5.763976799993543,None,354603,001,2024-11-21_09h31.10.468,delay_discounting_task,2024.1.5,None,2024-11-21 09h31.19.203441 +0530,
