reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,60,89,0,0,0,4,0.33269329999166075,,0.047433599989744835,0.33269329999166075,1.0158421999949496,1.0158421999949496,1.3510505999875022,4.387937499996042,t,3.3572291000018595,None,270876,001,2024-11-21_09h25.07.589,delay_discounting_task,2024.1.5,None,2024-11-21 09h25.16.487699 +0530,
27,30,21,0,1,1,2,4.419364699992002,,4.390094799993676,4.419364699992002,5.405478099986794,5.405478099986794,5.422012600000016,7.648606999995536,t,2.223745900002541,None,270876,001,2024-11-21_09h25.07.589,delay_discounting_task,2024.1.5,None,2024-11-21 09h25.16.487699 +0530,
11,30,7,0,2,2,0,7.690975599994999,,7.6506009999866365,7.690975599994999,8.674760399997467,8.674760399997467,8.692347899996093,12.769753299988224,l,4.082325399998808,None,270876,001,2024-11-21_09h25.07.589,delay_discounting_task,2024.1.5,None,2024-11-21 09h25.16.487699 +0530,
78,80,162,0,3,3,6,12.795969099999638,,12.770728099989356,12.795969099999638,13.78152739998768,13.78152739998768,13.798189499997534,15.673052999991341,t,1.883517900001607,None,270876,001,2024-11-21_09h25.07.589,delay_discounting_task,2024.1.5,None,2024-11-21 09h25.16.487699 +0530,
67,75,119,0,4,4,5,15.698531999994884,,15.674051399997552,15.698531999994884,16.700263399994583,16.700263399994583,16.717628499987768,18.927250199994887,t,2.1951813000050606,None,270876,001,2024-11-21_09h25.07.589,delay_discounting_task,2024.1.5,None,2024-11-21 09h25.16.487699 +0530,
15,35,13,0,5,5,1,18.95239429999492,,18.928848600000492,18.95239429999492,19.953421199999866,19.953421199999866,19.97116789998836,22.015328699999372,l,2.053217599997879,None,270876,001,2024-11-21_09h25.07.589,delay_discounting_task,2024.1.5,None,2024-11-21 09h25.16.487699 +0530,
40,55,62,0,6,6,3,22.03904629999306,,22.016798999989987,22.03904629999306,23.02495189999172,23.02495189999172,23.041597399991588,26.303111299988814,t,3.27225080000062,None,270876,001,2024-11-21_09h25.07.589,delay_discounting_task,2024.1.5,None,2024-11-21 09h25.16.487699 +0530,
40,55,62,1,0,7,3,26.326989299996058,,26.30457709998882,26.326989299996058,27.32810199999949,27.32810199999949,27.345884399997885,30.35771099998965,t,3.0255008000094676,None,270876,001,2024-11-21_09h25.07.589,delay_discounting_task,2024.1.5,None,2024-11-21 09h25.16.487699 +0530,
27,30,21,1,1,8,2,30.38163469999563,,30.359169299990754,30.38163469999563,31.382597299991176,31.382597299991176,31.40037369998754,33.02545609998924,t,1.637403800006723,None,270876,001,2024-11-21_09h25.07.589,delay_discounting_task,2024.1.5,None,2024-11-21 09h25.16.487699 +0530,
78,80,162,1,2,9,6,33.05177249999542,,33.026449499986484,33.05177249999542,34.03704769999604,34.03704769999604,34.05367579999438,35.34522899999865,t,1.3061084999935701,None,270876,001,2024-11-21_09h25.07.589,delay_discounting_task,2024.1.5,None,2024-11-21 09h25.16.487699 +0530,
49,60,89,1,3,10,4,35.370669500000076,,35.3469660999981,35.370669500000076,36.356163599994034,36.356163599994034,36.37284449998697,38.44979419998708,t,2.0858497000008356,None,270876,001,2024-11-21_09h25.07.589,delay_discounting_task,2024.1.5,None,2024-11-21 09h25.16.487699 +0530,
67,75,119,1,4,11,5,38.47371169998951,,38.45128709998971,38.47371169998951,39.459475599986035,39.459475599986035,39.47609789999842,41.67019849999633,t,2.205233299988322,None,270876,001,2024-11-21_09h25.07.589,delay_discounting_task,2024.1.5,None,2024-11-21 09h25.16.487699 +0530,
11,30,7,1,5,12,0,41.69428299998981,,41.67167669998889,41.69428299998981,42.69527909999306,42.69527909999306,42.712686999992,44.43966809999256,l,1.727268600006937,None,270876,001,2024-11-21_09h25.07.589,delay_discounting_task,2024.1.5,None,2024-11-21 09h25.16.487699 +0530,
