stimulus,condition,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,instructions.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thank_you.started,text_3.started,thank_you.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.02790009998716414,0.050964999943971634,10.019908000016585,,,,,,,,,,,,,,dhriti,2024-12-02_14h28.20.397,solo_project,2024.1.5,None,2024-12-02 14h28.36.371866 +0530,
literal  ,control,y,0,0,0,16,10.07879630010575,,,,,10.057848100084811,10.07879630010575,10.52967289998196,10.52967289998196,10.582228200044483,13.3441829001531,y,1,2.7679211001377553,None,,,,dhriti,2024-12-02_14h28.20.397,solo_project,2024.1.5,None,2024-12-02 14h28.36.371866 +0530,
retome,cctl,n,0,1,1,23,13.366272800136358,,,,,13.34742320002988,13.366272800136358,13.869303700048476,13.869303700048476,13.869303700048476,15.4910605000332,n,1,1.6064410000108182,None,,,,dhriti,2024-12-02_14h28.20.397,solo_project,2024.1.5,None,2024-12-02 14h28.36.371866 +0530,
vecolity,cctl,n,0,2,2,25,15.518211800139397,,,,,15.491958700120449,15.518211800139397,16.01941110007465,16.01941110007465,16.052319600014016,16.879903899971396,n,1,0.8514469000510871,None,,,,dhriti,2024-12-02_14h28.20.397,solo_project,2024.1.5,None,2024-12-02 14h28.36.371866 +0530,
criminal  ,control,y,0,3,3,38,16.904919099994004,,,,,16.881460800068453,16.904919099994004,17.40380090009421,17.40380090009421,17.423197300173342,18.399367599980906,y,1,0.9883227001409978,None,,,,dhriti,2024-12-02_14h28.20.397,solo_project,2024.1.5,None,2024-12-02 14h28.36.371866 +0530,
original  ,control,y,0,4,4,28,18.421313900034875,,,,,18.400625000009313,18.421313900034875,18.908562700031325,18.908562700031325,18.938838199945167,20.049661500146613,y,1,1.1095154001377523,None,,,,dhriti,2024-12-02_14h28.20.397,solo_project,2024.1.5,None,2024-12-02 14h28.36.371866 +0530,
stogare,cctl,n,0,5,5,15,20.073236900148913,,,,,20.05089409998618,20.073236900148913,20.573970400029793,20.573970400029793,20.607286700047553,22.484855600167066,n,1,1.8923108000308275,None,,,,dhriti,2024-12-02_14h28.20.397,solo_project,2024.1.5,None,2024-12-02 14h28.36.371866 +0530,
crinimal,cctl,n,0,6,6,39,22.50935659999959,,,,,22.486091300146654,22.50935659999959,23.009650100022554,23.009650100022554,23.043066499987617,24.13397610001266,n,1,1.1178941000252962,None,,,,dhriti,2024-12-02_14h28.20.397,solo_project,2024.1.5,None,2024-12-02 14h28.36.371866 +0530,
pacific  ,control,y,0,7,7,10,24.160795000148937,,,,,24.134830800117925,24.160795000148937,24.648082500090823,24.648082500090823,24.664855800103396,25.9247350001242,y,1,1.2635222000535578,None,,,,dhriti,2024-12-02_14h28.20.397,solo_project,2024.1.5,None,2024-12-02 14h28.36.371866 +0530,
marine  ,control,y,0,8,8,20,25.94735940010287,,,,,25.925868600141257,25.94735940010287,26.465051700128242,26.465051700128242,26.465051700128242,27.42088959994726,y,1,0.9372886000201106,None,,,,dhriti,2024-12-02_14h28.20.397,solo_project,2024.1.5,None,2024-12-02 14h28.36.371866 +0530,
fornute,cctl,n,0,9,9,7,27.447585799964145,,,,,27.421561799943447,27.447585799964145,27.951751900138333,27.951751900138333,27.951751900138333,28.959148300113156,n,1,1.0038498998619616,None,,,,dhriti,2024-12-02_14h28.20.397,solo_project,2024.1.5,None,2024-12-02 14h28.36.371866 +0530,
remote  ,control,y,0,10,10,22,28.98317619995214,,,,,28.960193500155583,28.98317619995214,29.46941599994898,29.46941599994898,29.485386700136587,30.276377000147477,y,1,0.8035212999675423,None,,,,dhriti,2024-12-02_14h28.20.397,solo_project,2024.1.5,None,2024-12-02 14h28.36.371866 +0530,
