stimulus,condition,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,instructions.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thank_you.started,text_3.started,thank_you.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.02361840009689331,0.04758029989898205,10.019070100039244,,,,,,,,,,,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
midecine,vvtl,n,0,0,0,3,10.059127799933776,,,,,10.034449700033292,10.059127799933776,10.510339800035581,10.510339800035581,10.560521299950778,11.344174799975008,n,1,0.7968455001246184,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
tribute  ,control,y,0,1,1,14,11.35996020003222,,,,,11.345900000073016,11.35996020003222,11.846536099910736,11.846536099910736,11.861748700030148,12.488395400112495,y,1,0.6285524000413716,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
cemody,vvtl,n,0,2,2,35,12.511236499994993,,,,,12.489997999975458,12.511236499994993,12.997565899975598,12.997565899975598,13.014119199942797,13.736199399922043,n,1,0.7255799998529255,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
radical  ,control,y,0,3,3,4,13.763063200050965,,,,,13.737082399893552,13.763063200050965,14.247686000075191,14.247686000075191,14.265896700089797,14.959682800108567,y,1,0.698886799858883,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
viladity,vvtl,n,0,4,4,27,14.980348400073126,,,,,14.96103910007514,14.980348400073126,15.498785899952054,15.498785899952054,15.498785899952054,16.341566799907014,n,1,0.8205597999040037,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
propasol,vvtl,n,0,5,5,7,16.365758399944752,,,,,16.342782800085843,16.365758399944752,16.866310300072655,16.866310300072655,16.89986260002479,17.540376499993727,n,1,0.6560676998924464,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
delacite,vvtl,n,0,6,6,29,17.567639200016856,,,,,17.54120029998012,17.567639200016856,18.051806699950248,18.051806699950248,18.068613999988884,18.811779899988323,n,1,0.7577146999537945,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
decade  ,control,y,0,7,7,38,18.834939199965447,,,,,18.813223500037566,18.834939199965447,19.353091500001028,19.353091500001028,19.353091500001028,20.01336960005574,y,1,0.6518366001546383,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
marginal  ,control,y,0,8,8,24,20.036694099893793,,,,,20.014833000022918,20.036694099893793,20.537629700032994,20.537629700032994,20.555684099905193,21.326299200067297,y,1,0.7650874999817461,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
resume  ,control,y,0,9,9,8,21.340475999983028,,,,,21.32696700002998,21.340475999983028,21.85519909998402,21.85519909998402,21.87267980002798,22.412780799902976,y,1,0.5498071000911295,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
ruseme,vvtl,n,0,10,10,9,22.43914459994994,,,,,22.41342439991422,22.43914459994994,22.940255499910563,22.940255499910563,22.95825899997726,23.59705529990606,n,1,0.6456180000677705,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
lacote,vvtl,n,0,11,11,33,23.623948500026017,,,,,23.597852299921215,23.623948500026017,24.11015360010788,24.11015360010788,24.14085970004089,25.33596649998799,n,1,1.2208462001290172,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
specemin,vvtl,n,0,12,12,13,25.358881500083953,,,,,25.337362099904567,25.358881500083953,25.859427399933338,25.859427399933338,25.892768899910152,26.737411299953237,n,1,0.8736680999863893,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
amateur  ,control,y,0,13,13,20,26.760677200043574,,,,,26.738410900114104,26.760677200043574,27.246431699953973,27.246431699953973,27.278287400025874,27.83742480003275,n,0,0.5778177999891341,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
ametaur,vvtl,n,0,14,14,21,27.86151499999687,,,,,27.838745400076732,27.86151499999687,28.362699599936604,28.362699599936604,28.395686200121418,29.340911800041795,n,1,0.9656703001819551,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
validity  ,control,y,0,15,15,26,29.363652999978513,,,,,29.341919099912047,29.363652999978513,29.848191400058568,29.848191400058568,29.86471699993126,30.5581648000516,y,1,0.7031819999683648,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
ceromeny,vvtl,n,0,16,16,19,30.581303500104696,,,,,30.558766799978912,30.581303500104696,31.09869010001421,31.09869010001421,31.09869010001421,31.72565759997815,n,1,0.6048006000928581,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
mirganal,vvtl,n,0,17,17,25,31.74958850000985,,,,,31.726744000101462,31.74958850000985,32.249930900055915,32.249930900055915,32.2833541999571,33.37260770006105,n,1,1.0948095999192446,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
locate  ,control,y,0,18,18,32,33.38684460008517,,,,,33.37336209998466,33.38684460008517,33.88611719990149,33.88611719990149,33.88611719990149,34.928961199941114,y,1,1.028621100122109,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
mastike,vvtl,n,0,19,19,37,34.95283910003491,,,,,34.930292499950156,34.95283910003491,35.45310700009577,35.45310700009577,35.48681199993007,36.277502899989486,n,1,0.8067111999262124,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
advosiry,vvtl,n,0,20,20,23,36.30417410004884,,,,,36.278327899985015,36.30417410004884,36.80489909998141,36.80489909998141,36.83841409999877,37.76555379992351,n,1,0.9380006000865251,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
stolen  ,control,y,0,21,21,30,37.78959719999693,,,,,37.76691909995861,37.78959719999693,38.28981150011532,38.28981150011532,38.30953330011107,39.034358999924734,y,1,0.7282772997859865,None,,,,nirja,2024-12-02_19h19.59.601,solo_project,2024.1.5,None,2024-12-02 19h20.14.575081 +0530,
