stimulus,condition,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,instructions.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thank_you.started,text_3.started,thank_you.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.02780779986642301,0.05167689989320934,10.005822599865496,,,,,,,,,,,,,,priyam,2024-12-02_19h28.56.715,solo_project,2024.1.5,None,2024-12-02 19h29.09.109166 +0530,
popular  ,control,y,0,0,0,34,10.062604899983853,,,,,10.038059699814767,10.062604899983853,10.530052699847147,10.530052699847147,10.581842699786648,12.380299099953845,y,1,1.8316294001415372,None,,,,priyam,2024-12-02_19h28.56.715,solo_project,2024.1.5,None,2024-12-02 19h29.09.109166 +0530,
coverage  ,control,y,0,1,1,30,12.415141599951312,,,,,12.382677699904889,12.415141599951312,12.89976039994508,12.89976039994508,12.917879399843514,13.842203499982134,y,1,0.9287833999842405,None,,,,priyam,2024-12-02_19h28.56.715,solo_project,2024.1.5,None,2024-12-02 19h29.09.109166 +0530,
probice,ccrl,n,0,2,2,25,13.867352899862453,,,,,13.843430399894714,13.867352899862453,14.367919799871743,14.367919799871743,14.385883499868214,15.010860699927434,n,1,0.6390863999258727,None,,,,priyam,2024-12-02_19h28.56.715,solo_project,2024.1.5,None,2024-12-02 19h29.09.109166 +0530,
beloved  ,control,y,0,3,3,20,15.034941599937156,,,,,15.011823899811134,15.034941599937156,15.538400499848649,15.538400499848649,15.538400499848649,16.17771889991127,n,0,0.6198321001138538,None,,,,priyam,2024-12-02_19h28.56.715,solo_project,2024.1.5,None,2024-12-02 19h29.09.109166 +0530,
disluge,ccrl,n,0,4,4,27,16.202943899901584,,,,,16.17893119994551,16.202943899901584,16.688082299893722,16.688082299893722,16.704632999841124,17.512929799966514,n,1,0.7922556998673826,None,,,,priyam,2024-12-02_19h28.56.715,solo_project,2024.1.5,None,2024-12-02 19h29.09.109166 +0530,
recile,ccrl,n,0,5,5,9,17.53774179983884,,,,,17.514173299772665,17.53774179983884,18.039063399890438,18.039063399890438,18.05736649991013,18.797319499775767,n,1,0.7275187000632286,None,,,,priyam,2024-12-02_19h28.56.715,solo_project,2024.1.5,None,2024-12-02 19h29.09.109166 +0530,
qualify  ,control,y,0,6,6,32,18.822371499845758,,,,,18.79854049999267,18.822371499845758,19.32304729986936,19.32304729986936,19.34123929985799,20.048988899914548,y,1,0.7096067999955267,None,,,,priyam,2024-12-02_19h28.56.715,solo_project,2024.1.5,None,2024-12-02 19h29.09.109166 +0530,
saline  ,control,y,0,7,7,38,20.073863599915057,,,,,20.050228599924594,20.073863599915057,20.574535899795592,20.574535899795592,20.593050599796697,21.268917199922726,n,0,0.6852365999948233,None,,,,priyam,2024-12-02_19h28.56.715,solo_project,2024.1.5,None,2024-12-02 19h29.09.109166 +0530,
reconal,ccrl,n,0,8,8,23,21.291661099996418,,,,,21.270144899841398,21.291661099996418,21.79263269994408,21.79263269994408,21.811417299788445,24.75592689984478,n,1,2.9572587001603097,None,,,,priyam,2024-12-02_19h28.56.715,solo_project,2024.1.5,None,2024-12-02 19h29.09.109166 +0530,
