trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.1355383999980404,,0.0269120999982988,10,0.1355383999980404,0.1355383999980404,0.10119920000215643,2.607425799997145,[0.013333333333333334],[0.3416666666666667],[1],[0],[0],[2.504798199999641],['target'],251423,001,2024-10-10_16h08.06.627,visual_search_exp,2024.1.5,None,2024-10-10 16h08.16.018858 +0530,
1,0,1,0,2.8729905000000144,,2.621214599999803,10,2.8729905000000144,2.8729905000000144,0.22933419999753824,4.475928299998486,[-0.16166666666666665],[0.45166666666666666],[1],[0],[0],[1.6280432999992627],['target'],251423,001,2024-10-10_16h08.06.627,visual_search_exp,2024.1.5,None,2024-10-10 16h08.16.018858 +0530,
2,0,2,0,4.558078099998966,,4.48177719999876,10,4.558078099998966,4.558078099998966,0.05794840000089607,6.397471799999039,[-0.25],[-0.37166666666666665],[1],[0],[0],[1.858070400001452],['target'],251423,001,2024-10-10_16h08.06.627,visual_search_exp,2024.1.5,None,2024-10-10 16h08.16.018858 +0530,
3,0,3,0,6.493847599998844,,6.410567799997807,10,6.493847599998844,6.493847599998844,0.06361309999920195,7.896683399998437,[-0.13833333333333334],[-0.31],[1],[0],[0],[1.4249091999990924],['target'],251423,001,2024-10-10_16h08.06.627,visual_search_exp,2024.1.5,None,2024-10-10 16h08.16.018858 +0530,
4,0,4,0,7.9944546000006085,,7.9027335999999195,10,7.9944546000006085,7.9944546000006085,0.05898769999839715,9.68216399999801,[-0.03666666666666667],[0.34],[1],[0],[0],[1.72101720000137],['target'],251423,001,2024-10-10_16h08.06.627,visual_search_exp,2024.1.5,None,2024-10-10 16h08.16.018858 +0530,
5,0,5,0,9.746535599999333,,9.688008199998876,5,9.746535599999333,9.746535599999333,0.028737999997247243,11.953161999997974,[0.4766666666666667],[-0.3383333333333333],[1],[0],[0],[2.2368769999993674],['target'],251423,001,2024-10-10_16h08.06.627,visual_search_exp,2024.1.5,None,2024-10-10 16h08.16.018858 +0530,
6,0,6,0,12.049089399999502,,11.959406899997703,10,12.049089399999502,12.049089399999502,0.060712999998941086,15.604620899997826,[0.10666666666666667],[-0.13666666666666666],[1],[0],[0],[3.585409499999514],['target'],251423,001,2024-10-10_16h08.06.627,visual_search_exp,2024.1.5,None,2024-10-10 16h08.16.018858 +0530,
7,0,7,0,15.65321269999913,,15.61035400000037,5,15.65321269999913,15.65321269999913,0.028891200003272388,18.108514199997444,[-0.335],[0.195],[1],[0],[0],[2.469921299998532],['target'],251423,001,2024-10-10_16h08.06.627,visual_search_exp,2024.1.5,None,2024-10-10 16h08.16.018858 +0530,
8,0,8,0,18.17153419999886,,18.11422649999804,5,18.17153419999886,18.17153419999886,0.030157299999700626,19.676447899997584,[0.013333333333333334],[0.4116666666666667],[1],[0],[0],[1.532700499999919],['target'],251423,001,2024-10-10_16h08.06.627,visual_search_exp,2024.1.5,None,2024-10-10 16h08.16.018858 +0530,
9,0,9,0,19.74027550000028,,19.682235699998273,5,19.74027550000028,19.74027550000028,0.03033990000039921,21.79561610000019,[-0.021666666666666667],[-0.43833333333333335],[1],[0],[0],[2.083617000000231],['target'],251423,001,2024-10-10_16h08.06.627,visual_search_exp,2024.1.5,None,2024-10-10 16h08.16.018858 +0530,
10,0,10,0,21.860099999998056,,21.801471499999025,5,21.860099999998056,21.860099999998056,0.028906700001243735,24.948957799999334,[-0.43666666666666665],[-0.24166666666666667],[1],[0],[0],[3.1190247000013187],['target'],251423,001,2024-10-10_16h08.06.627,visual_search_exp,2024.1.5,None,2024-10-10 16h08.16.018858 +0530,
11,0,11,0,25.013117099999363,,24.95608379999976,5,25.013117099999363,25.013117099999363,0.03565520000120159,26.233692599998903,[-0.455],[-0.021666666666666667],[1],[0],[0],[1.2428497000000789],['target'],251423,001,2024-10-10_16h08.06.627,visual_search_exp,2024.1.5,None,2024-10-10 16h08.16.018858 +0530,
12,0,12,0,26.331245199999103,,26.24183659999835,10,26.331245199999103,26.331245199999103,0.060957499998039566,28.352143299998716,[-0.05],[-0.20166666666666666],[1],[0],[0],[2.0505341999996745],['target'],251423,001,2024-10-10_16h08.06.627,visual_search_exp,2024.1.5,None,2024-10-10 16h08.16.018858 +0530,
