stimulus,condition,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,instructions.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thank_you.started,text_3.started,thank_you.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.02306989999487996,0.036713199922814965,10.003335400018841,,,,,,,,,,,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
logical  ,control,y,0,0,0,12,10.062264000065625,,,,,10.035356200067326,10.062264000065625,10.529344599926844,10.529344599926844,10.581378399860114,16.82575699989684,y,1,6.275101700099185,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
clicinal,cctl,n,0,1,1,33,16.852943599922583,,,,,16.828763299854472,16.852943599922583,17.354236599989235,17.354236599989235,17.387022000038996,20.249439199920744,n,1,2.8794251000508666,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
crinimal,cctl,n,0,2,2,39,20.273766099940985,,,,,20.250753399915993,20.273766099940985,20.77581509994343,20.77581509994343,20.77581509994343,23.687967899953946,n,1,2.8963862999808043,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
original  ,control,y,0,3,3,28,23.710883100051433,,,,,23.689291399903595,23.710883100051433,24.210903099970892,24.210903099970892,24.24427690007724,26.756466299993917,y,1,2.521785599878058,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
mobile  ,control,y,0,4,4,36,26.78030059998855,,,,,26.757935999892652,26.78030059998855,27.28181209997274,27.28181209997274,27.314332199981436,28.57734639989212,y,1,1.2830711000133306,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
resufal,cctl,n,0,5,5,5,28.599354800069705,,,,,28.578629199881107,28.599354800069705,29.09959980007261,29.09959980007261,29.133033100049943,30.796254199929535,n,1,1.68296410003677,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
velocity  ,control,y,0,6,6,24,30.817574799992144,,,,,30.797640200005844,30.817574799992144,31.31895049987361,31.31895049987361,31.3522030999884,33.045844400068745,y,1,1.6979012999217957,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
remote  ,control,y,0,7,7,22,33.070875599980354,,,,,33.047036099946126,33.070875599980354,33.57098659989424,33.57098659989424,33.590242200065404,34.430450399871916,y,1,0.8309872001409531,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
criminal  ,control,y,0,8,8,38,34.45557189988904,,,,,34.43163689994253,34.45557189988904,34.97292479989119,34.97292479989119,34.97292479989119,36.150054099969566,y,1,1.174131500069052,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
donimant,cctl,n,0,9,9,31,36.174021600047126,,,,,36.151325799990445,36.174021600047126,36.67662149993703,36.67662149993703,36.67662149993703,38.00127790006809,n,1,1.2985649998299778,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
liretal,cctl,n,0,10,10,17,38.026161700021476,,,,,38.00276579987258,38.026161700021476,38.52693559997715,38.52693559997715,38.56062770006247,41.58941200003028,n,1,3.0449289998505265,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
opmital,cctl,n,0,11,11,3,41.613677399931476,,,,,41.59082529996522,41.613677399931476,42.11376279988326,42.11376279988326,42.13306699995883,43.86047940002754,n,1,1.7349713000003248,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
orinigal,cctl,n,0,12,12,29,43.88253719988279,,,,,43.862095799995586,43.88253719988279,44.3827935999725,44.3827935999725,44.4164732999634,45.35943429986946,n,1,0.9697936000302434,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
clinical  ,control,y,0,13,13,32,45.38427080004476,,,,,45.360653599957004,45.38427080004476,45.88694570004009,45.88694570004009,45.88694570004009,47.93211369984783,y,1,2.027977699879557,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
locigal,cctl,n,0,14,14,13,47.95335349999368,,,,,47.93331620004028,47.95335349999368,48.45583390002139,48.45583390002139,48.45583390002139,50.28206519992091,n,1,1.8152828000020236,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
retalive,cctl,n,0,15,15,35,50.30634870007634,,,,,50.283583000069484,50.30634870007634,50.80734289996326,50.80734289996326,50.84007210005075,51.81668960000388,n,1,0.9868666999973357,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
setanor,cctl,n,0,16,16,9,51.84110859991051,,,,,51.81788039999083,51.84110859991051,52.34163110004738,52.34163110004738,52.360215599881485,53.869357799878344,n,1,1.4954975999426097,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
romantic  ,control,y,0,17,17,26,53.89333110000007,,,,,53.870545299956575,53.89333110000007,54.394087800057605,54.394087800057605,54.427393399877474,58.15900580002926,y,1,3.7610300998203456,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
refusal  ,control,y,0,18,18,4,58.18129900004715,,,,,58.1603516000323,58.18129900004715,58.682249299949035,58.682249299949035,58.715346900047734,60.894973299931735,y,1,2.202227200148627,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
senator  ,control,y,0,19,19,8,60.918068799888715,,,,,60.896256800042465,60.918068799888715,61.42016500001773,61.42016500001773,61.42016500001773,63.53190469997935,n,0,2.0992684999946505,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
edivent,cctl,n,0,20,20,19,63.55446369992569,,,,,63.53327500005253,63.55446369992569,64.05458569992334,64.05458569992334,64.07329219998792,65.35012219985947,n,1,1.287092600017786,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
stragety,cctl,n,0,21,21,1,65.37257910007611,,,,,65.35138779995032,65.37257910007611,65.8730985999573,65.8730985999573,65.89184739999473,70.50387310003862,n,1,4.6256796000525355,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
manire,cctl,n,0,22,22,21,70.5283410998527,,,,,70.50545579986647,70.5283410998527,71.04559740005061,71.04559740005061,71.04559740005061,71.98936800006777,n,1,0.9330822001211345,None,,,,samarth,2024-12-02_13h42.32.241,solo_project,2024.1.5,None,2024-12-02 13h43.23.836018 +0530,
