stimulus,condition,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,instructions.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thank_you.started,text_3.started,thank_you.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.029934599995613098,0.05340289999730885,10.007281000027433,,,,,,,,,,,,,,samarth,2024-12-02_13h46.58.168,solo_project,2024.1.5,None,2024-12-02 13h47.12.907262 +0530,
academy  ,control,y,0,0,0,26,10.064723199931905,,,,,10.040354900062084,10.064723199931905,10.515340100042522,10.515340100042522,10.567247099941596,15.095353899989277,n,0,4.566998300142586,None,,,,samarth,2024-12-02_13h46.58.168,solo_project,2024.1.5,None,2024-12-02 13h47.12.907262 +0530,
sontament,vvrl,n,0,1,1,39,15.120321800000966,,,,,15.104649800108746,15.120321800000966,15.622955300146714,15.622955300146714,15.622955300146714,16.41429780004546,n,1,0.756828400073573,None,,,,samarth,2024-12-02_13h46.58.168,solo_project,2024.1.5,None,2024-12-02 13h47.12.907262 +0530,
basude,vvrl,n,0,2,2,5,16.438286900054663,,,,,16.415643600048497,16.438286900054663,16.938926900038496,16.938926900038496,16.95704840007238,17.865095700137317,n,1,0.9116366000380367,None,,,,samarth,2024-12-02_13h46.58.168,solo_project,2024.1.5,None,2024-12-02 13h47.12.907262 +0530,
anemol,vvrl,n,0,3,3,9,17.889887399971485,,,,,17.866575400112197,17.889887399971485,18.39048820012249,18.39048820012249,18.408989900024608,19.13394939992577,n,1,0.7312680999748409,None,,,,samarth,2024-12-02_13h46.58.168,solo_project,2024.1.5,None,2024-12-02 13h47.12.907262 +0530,
grotiful,vvrl,n,0,4,4,19,19.15813979995437,,,,,19.13524980004877,19.15813979995437,19.658453800017014,19.658453800017014,19.677711799973622,21.2861138000153,n,1,1.6024764000903815,None,,,,samarth,2024-12-02_13h46.58.168,solo_project,2024.1.5,None,2024-12-02 13h47.12.907262 +0530,
cardinal  ,control,y,0,5,5,28,21.31036620005034,,,,,21.287351100007072,21.31036620005034,21.813440199941397,21.813440199941397,21.813440199941397,23.771808000048622,y,1,1.9252539998851717,None,,,,samarth,2024-12-02_13h46.58.168,solo_project,2024.1.5,None,2024-12-02 13h47.12.907262 +0530,
benefit  ,control,y,0,6,6,20,23.796318900072947,,,,,23.773146100109443,23.796318900072947,24.298459199955687,24.298459199955687,24.298459199955687,25.62606730009429,y,1,1.3208295998629183,None,,,,samarth,2024-12-02_13h46.58.168,solo_project,2024.1.5,None,2024-12-02 13h47.12.907262 +0530,
resadunt,vvrl,n,0,7,7,3,25.648597199935466,,,,,25.627357700141147,25.648597199935466,26.165592800127342,26.165592800127342,26.165592800127342,27.342180100036785,n,1,1.158396900165826,None,,,,samarth,2024-12-02_13h46.58.168,solo_project,2024.1.5,None,2024-12-02 13h47.12.907262 +0530,
capecoty,vvrl,n,0,8,8,1,27.366833500098437,,,,,27.343465100042522,27.366833500098437,27.867407399928197,27.867407399928197,27.886146600125358,28.860973099945113,n,1,0.9809742998331785,None,,,,samarth,2024-12-02_13h46.58.168,solo_project,2024.1.5,None,2024-12-02 13h47.12.907262 +0530,
