23.1671 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
23.1696 	INFO 	Loaded monitor calibration from ['2024_08_07 22:29']
23.6203 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002639AAAD640>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002639AAAD5E0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002639AAAD430>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002639AE76490>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
23.6204 	EXP 	window1: backgroundImage = ''
23.6204 	EXP 	window1: backgroundFit = 'none'
23.6207 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002639AAAD760>
23.6210 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002639AAAD760>
23.6251 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002639AAAD760>
23.6262 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002639AAAD760>
23.6363 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6382 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6399 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6422 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6447 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6462 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6480 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6504 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6519 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6533 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6552 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6570 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6588 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6608 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6625 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6645 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6664 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6677 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6690 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6710 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6723 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6727 	DEBUG 	Uploading Texture Font fontname to graphics card
23.6747 	DEBUG 	Upload of Texture Font fontname complete
23.6773 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002639AAAD760>
23.6776 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002639AAAD760>
23.6789 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002639AAAD760>
23.6801 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002639AAAD760>
23.6878 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6899 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6919 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
23.6924 	DEBUG 	Uploading Texture Font fontname to graphics card
23.6936 	DEBUG 	Upload of Texture Font fontname complete
23.6980 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
23.6981 	EXP 	window1: recordFrameIntervals = False
23.8804 	EXP 	window1: recordFrameIntervals = True
23.9584 	WARNING 	t of last frame was 26.09ms (=1/38)
23.9807 	WARNING 	t of last frame was 22.36ms (=1/44)
24.1254 	WARNING 	t of last frame was 26.00ms (=1/38)
24.1480 	WARNING 	t of last frame was 22.64ms (=1/44)
24.2249 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
24.4645 	EXP 	Screen (0) actual frame rate measured at 59.81Hz
24.4646 	EXP 	window1: recordFrameIntervals = False
24.4650 	EXP 	window1: mouseVisible = False
24.4658 	EXP 	window1: mouseVisible = False
24.4662 	EXP 	window1: mouseVisible = False
24.4684 	EXP 	window1: mouseVisible = False
24.4703 	EXP 	window1: mouseVisible = False
24.4859 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
24.4897 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
24.4945 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
24.4999 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
24.5048 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
24.5075 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
24.5089 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
24.5111 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
24.5142 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
24.5163 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
24.5167 	DEBUG 	Uploading Texture Font fontname to graphics card
24.5185 	DEBUG 	Upload of Texture Font fontname complete
24.5224 	EXP 	window1: mouseVisible = False
24.5227 	EXP 	window1: mouseVisible = False
24.5247 	EXP 	window1: mouseVisible = False
24.5255 	EXP 	window1: mouseVisible = False
24.6097 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
32.2624 	INFO 	keyboard.Keyboard is using iohub backend.
32.2625 	INFO 	keyboard.Keyboard is using iohub backend.
32.2626 	EXP 	solo_project: status = STARTED
32.2633 	EXP 	window1: mouseVisible = False
32.4535 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
32.4537 	EXP 	window1: mouseVisible = False
