stimulus,condition,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,instructions.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thank_you.started,text_3.started,thank_you.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.024114999920129776,0.0390862999483943,10.008618599968031,,,,,,,,,,,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
denficy,ccrl,n,0,0,0,11,10.047920899931341,,,,,10.038030500058085,10.047920899931341,10.515675900038332,10.515675900038332,10.56846380000934,12.169353900011629,n,1,1.6214784001931548,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
coverage  ,control,y,0,1,1,30,12.20012310007587,,,,,12.17192339990288,12.20012310007587,12.68494899990037,12.68494899990037,12.718301400076598,17.798306399956346,n,0,5.097987199900672,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
menowy,ccrl,n,0,2,2,15,17.823391699930653,,,,,17.799238899955526,17.823391699930653,18.324192499974743,18.324192499974743,18.35752240009606,19.247495899908245,n,1,0.9195421000476927,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
religion  ,control,y,0,3,3,16,19.275264899944887,,,,,19.248319800011814,19.275264899944887,19.778114200104028,19.778114200104028,19.778114200104028,23.14043699996546,y,1,3.353611799888313,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
qualify  ,control,y,0,4,4,32,23.16274180007167,,,,,23.14166250010021,23.16274180007167,23.6635690999683,23.6635690999683,23.697127900086343,25.404406199930236,y,1,1.7256165000144392,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
policy  ,control,y,0,5,5,6,25.431858099997044,,,,,25.40563219995238,25.431858099997044,25.91558529995382,25.91558529995382,25.93291820003651,26.642742400057614,y,1,0.7252340998966247,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
saline  ,control,y,0,6,6,38,26.666746099945158,,,,,26.644047500099987,26.666746099945158,27.16744409990497,27.16744409990497,27.200659200083464,30.865363500081003,y,1,3.6952387001365423,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
memory  ,control,y,0,7,7,14,30.887987799942493,,,,,30.867351199965924,30.887987799942493,31.37242259993218,31.37242259993218,31.391354100080207,32.465087099932134,y,1,1.0606041001155972,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
helicage,ccrl,n,0,8,8,3,32.4900080000516,,,,,32.46648019994609,32.4900080000516,32.990177100058645,32.990177100058645,33.00951529992744,34.35110630001873,n,1,1.3572207000106573,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
mifikary,ccrl,n,0,9,9,29,34.37809729995206,,,,,34.35244970000349,34.37809729995206,34.892364700092,34.892364700092,34.925760000012815,36.41969899996184,n,1,1.5098018997814506,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
cocewage,ccrl,n,0,10,10,31,36.4439701999072,,,,,36.4209652999416,36.4439701999072,36.94455450004898,36.94455450004898,36.963104699971154,37.7042286999058,n,1,0.7389092000667006,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
rabigly,ccrl,n,0,11,11,19,37.72933300002478,,,,,37.7056617999915,37.72933300002478,38.22957680001855,38.22957680001855,38.26267069997266,39.489876199979335,n,1,1.2351840001065284,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
debate  ,control,y,0,12,12,12,39.514682800043374,,,,,39.49116159998812,39.514682800043374,40.01715119997971,40.01715119997971,40.01715119997971,41.82529189996421,y,1,1.7809981999453157,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
popular  ,control,y,0,13,13,34,41.8500314000994,,,,,41.82659989991225,41.8500314000994,42.35044900001958,42.35044900001958,42.369130899896845,43.20994640002027,y,1,0.842873299960047,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
dispute  ,control,y,0,14,14,26,43.23472830001265,,,,,43.21117529994808,43.23472830001265,43.73532809992321,43.73532809992321,43.75388549990021,44.76148069999181,y,1,0.9954913000110537,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
numerical  ,control,y,0,15,15,36,44.786463799886405,,,,,44.76271519996226,44.786463799886405,45.28723319992423,45.28723319992423,45.3053792999126,46.21030219993554,y,1,0.9189119997899979,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
reconal,ccrl,n,0,16,16,23,46.22170410002582,,,,,46.21097599994391,46.22170410002582,46.72300360002555,46.72300360002555,46.72300360002555,47.833881200058386,n,1,1.09236770006828,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
conbicer,ccrl,n,0,17,17,5,47.856698400108144,,,,,47.83540289988741,47.856698400108144,48.357637600041926,48.357637600041926,48.39040179993026,49.28356490004808,n,1,0.9148579000029713,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
samite,ccrl,n,0,18,18,39,49.308303100056946,,,,,49.285073600010946,49.308303100056946,49.810773599892855,49.810773599892855,49.810773599892855,50.90147279994562,n,1,1.0754464999772608,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
quakity,ccrl,n,0,19,19,33,50.92656120005995,,,,,50.90267300000414,50.92656120005995,51.42735889996402,51.42735889996402,51.46066779992543,53.45521520008333,n,1,2.0124723000917584,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
insibate,ccrl,n,0,20,20,1,53.47960629989393,,,,,53.456627199891955,53.47960629989393,53.98236409993842,53.98236409993842,53.98236409993842,56.19272359996103,n,1,2.2064880998805165,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
retire  ,control,y,0,21,21,8,56.21565159992315,,,,,56.193941599922255,56.21565159992315,56.71616999991238,56.71616999991238,56.734708399977535,58.477515999926254,y,1,1.7575492998585105,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
probice,ccrl,n,0,22,22,25,58.501357400091365,,,,,58.478861399926245,58.501357400091365,59.00225510005839,59.00225510005839,59.02059300011024,60.03158800001256,n,1,1.0246353999245912,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
potugar,ccrl,n,0,23,23,35,60.053271000040695,,,,,60.0331095000729,60.053271000040695,60.553780199959874,60.553780199959874,60.58710839995183,61.497720499988645,n,1,0.9302038000896573,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
density  ,control,y,0,24,24,10,61.52139679994434,,,,,61.4990175999701,61.52139679994434,62.02391580003314,62.02391580003314,62.02391580003314,63.51619970006868,y,1,1.4600595999509096,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
consider  ,control,y,0,25,25,4,63.54045520001091,,,,,63.51742239994928,63.54045520001091,64.04097039997578,64.04097039997578,64.05958499992266,64.920597899938,y,1,0.8641995000652969,None,,,,samarth,2024-12-02_13h49.32.562,solo_project,2024.1.5,None,2024-12-02 13h49.51.657956 +0530,
