pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,,,,,0.04019890003837645,,0.02081929997075349,0.04019890003837645,1.0245989999966696,1.0245989999966696,1.0245989999966696,1.0245989999966696,1.0587269000243396,2.042552800034173,2.042552800034173,3.1414611999643967,x,1,0.9692996999947354,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
150,v,0,1,1,1,,,,,3.1609579999931157,,3.1454382999800146,3.1609579999931157,4.161273600067943,4.161273600067943,4.161273600067943,4.161273600067943,4.194598600035533,5.1625703000463545,5.1625703000463545,5.67235490004532,v,1,0.5036350999725983,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
50,c,0,2,2,2,,,,,5.696421800064854,,5.675066199968569,5.696421800064854,6.697451599990018,6.697451599990018,6.697451599990018,6.697451599990018,6.7307282000547275,7.698626499972306,7.698626499972306,8.208002500003204,c,1,0.5075608999468386,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-150,z,0,3,3,3,,,,,8.23254050000105,,8.210736499982886,8.23254050000105,9.233778199995868,9.233778199995868,9.233778199995868,9.233778199995868,9.267091099987738,10.234768599970266,10.234768599970266,10.710107499966398,z,1,0.4471748999785632,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-50,x,1,0,4,0,,,,,10.735199199989438,,10.712769399979152,10.735199199989438,11.736347199999727,11.736347199999727,11.736347199999727,11.736347199999727,11.769499900052324,12.737443699967116,12.737443699967116,13.147207000060007,x,1,0.39382360002491623,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
150,v,1,1,5,1,,,,,13.171380199957639,,13.149781199987046,13.171380199957639,14.1724468000466,14.1724468000466,14.1724468000466,14.1724468000466,14.205762100056745,15.173600599984638,15.173600599984638,15.64944499998819,v,1,0.47398509993217885,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
50,c,1,2,6,2,,,,,15.673983599990606,,15.65217220003251,15.673983599990606,16.675427700043656,16.675427700043656,16.675427700043656,16.675427700043656,16.708266300032847,17.67629760003183,17.67629760003183,18.15199509996455,c,1,0.4568975999718532,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-150,z,1,3,7,3,,,,,18.176781099988148,,18.154721900005825,18.176781099988148,19.177761200000532,19.177761200000532,19.177761200000532,19.177761200000532,19.211263600038365,20.17898129997775,20.17898129997775,20.5544606000185,z,1,0.34180980001110584,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-50,x,2,0,8,0,,,,,20.57950890006032,,20.557089500012808,20.57950890006032,21.580713300034404,21.580713300034404,21.580713300034404,21.580713300034404,21.61373810004443,22.581453199964017,22.581453199964017,22.890622599981725,x,1,0.3024905000347644,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
150,v,2,1,9,1,,,,,22.91543020005338,,22.893276900053024,22.91543020005338,23.916308199986815,23.916308199986815,23.916308199986815,23.916308199986815,23.949646100052632,24.93420260003768,24.93420260003768,25.243153000017628,v,1,0.29215200000908226,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
